Age,CustomerSince,HighestSpend,MonthlyAverageSpend,Mortgage,Level,HiddenScore,Security,FixedDepositAccount,InternetBanking,CreditCard,MortgageFlag,RelationshipProductCount,DigitalEngagementFlag,SpendPerCustomerYear,MortgageToHighestSpendRatio,ValueSegmentScore,LoanOnCard
44,20,81,0.8,228,1,4,0,0,0,1,1,1,0,0.0380952380952381,2.7804878048780486,1,0
62,36,63,2.5,0,3,1,0,0,0,0,0,0,0,0.06756756756756757,0.0,4,0
61,36,60,0.5,182,2,3,0,0,0,0,1,0,0,0.013513513513513514,2.9836065573770494,2,0
41,16,79,4.0,225,3,1,0,0,1,0,1,0,1,0.23529411764705882,2.8125,4,0
31,7,18,0.4,0,3,1,0,0,1,0,0,0,1,0.05,0.0,3,0
51,25,65,0.7,0,2,3,0,0,0,0,0,0,0,0.02692307692307692,0.0,2,0
62,37,50,1.5,169,1,3,0,0,1,0,1,0,1,0.039473684210526314,3.3137254901960786,2,0
34,10,41,2.4,0,2,1,0,0,0,0,0,0,0,0.21818181818181817,0.0,3,0
26,2,82,2.5,199,1,2,0,0,0,0,1,0,0,0.8333333333333334,2.397590361445783,2,0
44,19,35,0.0,0,2,4,0,0,1,0,0,0,1,0.0,0.0,2,0
62,37,39,1.5,0,1,3,0,0,1,0,0,0,1,0.039473684210526314,0.0,2,0
27,3,88,0.8,238,1,3,0,0,0,0,1,0,0,0.2,2.6741573033707864,1,0
40,14,39,2.0,0,1,1,0,0,1,0,0,0,1,0.13333333333333333,0.0,2,0
32,8,183,6.0,0,1,1,0,0,0,0,0,0,0,0.6666666666666666,0.0,2,0
29,3,41,1.9,0,3,1,0,0,1,1,0,1,1,0.475,0.0,4,0
52,26,194,5.7,0,2,2,0,0,1,0,0,0,1,0.2111111111111111,0.0,3,1
57,33,45,1.5,204,1,4,0,0,1,0,1,0,1,0.04411764705882353,4.434782608695652,2,0
35,10,55,1.3,0,1,4,0,0,0,0,0,0,0,0.11818181818181818,0.0,1,0
38,14,35,1.5,97,2,1,0,0,1,0,1,0,1,0.1,2.6944444444444446,3,0
63,39,41,1.1,0,1,2,0,0,0,0,0,0,0,0.027500000000000004,0.0,1,0
41,16,70,0.5,0,3,3,0,0,0,1,0,1,0,0.029411764705882353,0.0,3,0
65,39,105,1.7,0,3,4,1,0,1,0,0,1,1,0.042499999999999996,0.0,4,0
36,12,142,2.3,0,2,3,0,1,1,1,0,2,1,0.1769230769230769,0.0,4,1
47,23,32,0.6,156,1,4,0,0,1,1,1,1,1,0.024999999999999998,4.7272727272727275,1,0
48,24,43,1.9,0,2,3,0,0,1,0,0,0,1,0.076,0.0,3,0
38,8,23,0.67,0,3,1,0,0,0,0,0,0,0,0.07444444444444445,0.0,3,0
32,6,111,1.5,0,3,2,0,0,0,0,0,0,0,0.21428571428571427,0.0,4,0
33,7,88,1.6,0,1,3,0,0,1,1,0,1,1,0.2,0.0,2,0
57,33,43,1.8,0,3,1,0,0,0,0,0,0,0,0.052941176470588235,0.0,4,0
44,20,43,0.3,0,3,1,1,0,0,1,0,2,0,0.014285714285714285,0.0,3,0
35,10,139,4.6,0,1,1,0,0,0,0,0,0,0,0.41818181818181815,0.0,2,0
66,42,95,0.0,0,3,2,0,0,1,0,0,0,1,0.0,0.0,3,0
30,5,112,5.0,0,2,4,0,0,0,1,0,1,0,0.8333333333333334,0.0,3,1
59,34,91,2.6,0,1,1,0,0,1,1,0,1,1,0.07428571428571429,0.0,2,0
44,20,85,3.2,0,1,2,0,0,1,0,0,0,1,0.1523809523809524,0.0,2,0
51,25,32,0.4,0,3,2,0,0,1,0,0,0,1,0.015384615384615385,0.0,3,0
60,34,102,2.0,0,1,2,0,0,1,1,0,1,1,0.05714285714285714,0.0,2,0
30,6,115,3.8,0,2,4,0,0,1,0,0,0,1,0.5428571428571428,0.0,3,1
52,28,62,1.8,0,3,1,0,0,1,0,0,0,1,0.06206896551724138,0.0,4,0
28,3,149,0.8,0,1,1,0,0,1,0,0,0,1,0.2,0.0,1,0
64,38,115,2.0,0,1,1,0,0,1,1,0,1,1,0.05128205128205128,0.0,2,0
38,12,43,1.2,0,2,4,0,0,0,1,0,1,0,0.0923076923076923,0.0,2,0
55,30,22,1.5,91,2,1,0,0,0,1,1,1,0,0.04838709677419355,3.9565217391304346,3,0
50,24,80,4.9,0,1,4,0,0,1,0,0,0,1,0.196,0.0,2,0
60,33,154,3.0,0,2,1,1,1,1,0,0,2,1,0.08823529411764706,0.0,4,1
26,1,80,0.2,0,1,4,0,0,1,1,0,1,1,0.1,0.0,1,0
47,20,13,0.67,0,2,3,0,0,1,0,0,0,1,0.03190476190476191,0.0,2,0
29,3,40,1.9,0,3,1,0,0,1,0,0,0,1,0.475,0.0,4,0
45,18,42,2.5,0,2,3,0,0,0,0,0,0,0,0.13157894736842105,0.0,3,0
61,35,60,2.5,0,3,1,0,0,1,0,0,0,1,0.06944444444444445,0.0,4,0
36,10,33,0.9,0,1,3,0,0,0,0,0,0,0,0.08181818181818182,0.0,1,0
58,34,19,1.2,0,3,1,0,0,0,0,0,0,0,0.03428571428571429,0.0,3,0
54,29,23,1.5,0,2,1,0,0,0,0,0,0,0,0.05,0.0,3,0
60,35,173,3.1,0,3,3,0,0,1,0,0,0,1,0.08611111111111111,0.0,4,1
47,23,90,2.7,323,1,1,0,0,0,0,1,0,0,0.1125,3.5494505494505493,2,0
49,25,55,0.1,0,3,4,0,0,1,0,0,0,1,0.0038461538461538464,0.0,3,0
27,3,90,0.8,0,1,3,0,0,1,0,0,0,1,0.2,0.0,1,0
53,23,39,1.0,87,3,3,0,0,1,0,1,0,1,0.041666666666666664,2.175,3,0
50,26,115,1.2,0,3,1,0,0,0,1,0,1,0,0.044444444444444446,0.0,3,1
51,24,189,4.75,0,2,4,0,0,1,0,0,0,1,0.19,0.0,3,1
58,33,45,2.1,0,1,4,0,0,1,1,0,1,1,0.061764705882352944,0.0,2,0
47,22,11,0.0,78,1,2,0,0,0,0,1,0,0,0.0,6.5,1,0
35,9,45,2.0,0,1,1,0,0,1,1,0,1,1,0.2,0.0,2,0
43,17,111,5.4,0,3,4,0,0,1,0,0,0,1,0.30000000000000004,0.0,4,1
49,24,109,0.6,0,1,1,0,0,0,0,0,0,0,0.024,0.0,1,0
43,19,28,0.5,0,1,3,0,0,1,1,0,1,1,0.025,0.0,1,0
47,21,53,1.5,0,2,1,0,0,1,0,0,0,1,0.06818181818181818,0.0,3,0
58,33,138,3.9,0,1,2,1,0,1,0,0,1,1,0.11470588235294117,0.0,2,0
38,12,24,0.8,0,3,2,0,0,1,1,0,1,1,0.06153846153846154,0.0,3,0
62,36,32,0.2,0,3,2,0,0,1,1,0,1,1,0.005405405405405406,0.0,3,0
53,27,45,0.8,0,3,2,0,0,1,1,0,1,1,0.028571428571428574,0.0,3,0
46,22,28,1.0,84,1,1,0,0,1,1,1,1,1,0.043478260869565216,2.896551724137931,1,0
46,22,43,2.1,0,3,2,1,1,1,1,0,3,1,0.09130434782608696,0.0,5,0
37,12,84,0.7,0,3,4,0,0,1,0,0,0,1,0.05384615384615384,0.0,3,0
39,15,129,1.9,0,1,2,0,0,0,0,0,0,0,0.11875,0.0,2,0
57,31,30,0.7,145,2,2,0,0,0,0,1,0,0,0.021875,4.67741935483871,2,0
44,19,48,0.8,0,3,3,0,0,0,1,0,1,0,0.04,0.0,3,0
24,0,119,1.5,0,1,1,0,0,1,0,0,0,1,1.5,0.0,2,0
34,10,88,0.0,121,1,2,0,0,1,0,1,0,1,0.0,1.3595505617977528,1,0
50,25,35,1.7,0,2,3,0,0,1,1,0,1,1,0.06538461538461539,0.0,3,0
50,25,38,1.4,0,3,1,0,0,1,0,0,0,1,0.05384615384615384,0.0,3,0
46,22,19,0.5,0,1,3,0,0,1,0,0,0,1,0.021739130434782608,0.0,1,0
56,30,55,1.4,77,1,1,0,0,1,0,1,0,1,0.04516129032258064,1.375,1,0
38,12,64,1.8,0,1,2,0,0,0,0,0,0,0,0.13846153846153847,0.0,2,0
45,19,93,1.7,0,2,2,0,0,0,0,0,0,0,0.08499999999999999,0.0,3,0
32,8,169,6.5,272,3,1,1,1,1,0,1,2,1,0.7222222222222222,1.6,5,1
61,36,10,0.1,0,1,1,0,0,0,0,0,0,0,0.002702702702702703,0.0,1,0
30,4,80,1.8,0,2,4,0,0,0,0,0,0,0,0.36,0.0,3,0
65,39,160,3.8,237,1,4,0,0,1,0,1,0,1,0.095,1.4720496894409938,2,1
51,26,78,1.2,305,1,1,0,0,1,0,1,0,1,0.044444444444444446,3.8607594936708862,1,0
37,13,73,2.4,0,1,4,0,0,0,0,0,0,0,0.17142857142857143,0.0,2,0
35,10,73,2.3,0,1,3,0,0,1,0,0,0,1,0.20909090909090908,0.0,2,0
56,31,84,0.1,0,3,1,0,0,1,0,0,0,1,0.003125,0.0,3,0
61,37,122,6.0,0,1,2,0,0,1,0,0,0,1,0.15789473684210525,0.0,2,0
66,41,11,0.1,0,3,3,1,0,0,1,0,2,0,0.002380952380952381,0.0,3,0
28,2,63,1.6,0,3,2,0,0,1,0,0,0,1,0.5333333333333333,0.0,4,0
43,17,82,0.1,0,1,3,0,0,1,0,0,0,1,0.005555555555555556,0.0,1,0
51,27,20,0.5,0,2,4,0,0,1,0,0,0,1,0.017857142857142856,0.0,2,0
53,23,45,2.0,132,3,4,1,0,0,0,1,1,0,0.08333333333333333,2.869565217391304,4,0
48,23,23,0.4,122,2,4,0,0,0,0,1,0,0,0.016666666666666666,5.083333333333333,2,0
49,25,91,1.4,0,2,4,0,0,1,0,0,0,1,0.05384615384615384,0.0,2,0
46,21,170,2.8,0,1,2,0,0,0,0,0,0,0,0.12727272727272726,0.0,2,0
61,35,61,2.2,117,3,3,0,0,1,1,1,1,1,0.061111111111111116,1.8870967741935485,4,0
51,25,68,1.5,117,2,2,0,0,0,1,1,1,0,0.057692307692307696,1.6956521739130435,3,0
52,28,81,1.8,0,2,3,1,0,0,0,0,1,0,0.06206896551724138,0.0,3,0
54,29,29,1.5,97,2,1,0,0,1,0,1,0,1,0.05,3.2333333333333334,3,0
45,19,73,2.9,0,1,4,0,0,0,0,0,0,0,0.145,0.0,2,0
67,42,21,0.1,0,3,3,0,0,0,1,0,1,0,0.002325581395348837,0.0,3,0
31,5,18,0.3,124,1,2,0,0,1,1,1,1,1,0.049999999999999996,6.526315789473684,1,0
49,25,31,1.0,0,1,1,1,0,1,0,0,1,1,0.038461538461538464,0.0,1,0
48,22,80,2.4,0,2,2,0,0,1,0,0,0,1,0.10434782608695652,0.0,3,0
54,28,90,0.3,0,1,1,0,0,1,0,0,0,1,0.010344827586206896,0.0,1,0
63,37,61,2.5,0,3,1,0,0,0,0,0,0,0,0.06578947368421052,0.0,4,0
44,20,52,0.8,196,3,1,0,0,0,1,1,1,0,0.0380952380952381,3.69811320754717,3,0
30,3,68,2.0,0,2,4,0,0,1,0,0,0,1,0.5,0.0,3,0
62,37,31,0.2,0,1,3,0,0,1,0,0,0,1,0.005263157894736842,0.0,1,0
50,24,45,0.6,117,2,3,0,0,1,0,1,0,1,0.024,2.5434782608695654,2,0
58,32,55,2.5,0,1,4,0,0,1,0,0,0,1,0.07575757575757576,0.0,2,0
46,21,40,1.9,122,3,4,0,0,1,0,1,0,1,0.08636363636363636,2.975609756097561,4,0
34,8,52,0.2,0,1,4,0,0,1,0,0,0,1,0.022222222222222223,0.0,1,0
38,13,119,7.8,221,1,2,0,0,0,0,1,0,0,0.5571428571428572,1.8416666666666666,2,0
49,25,65,0.0,0,1,1,0,0,1,0,0,0,1,0.0,0.0,1,0
54,30,121,0.4,0,1,2,0,0,1,0,0,0,1,0.012903225806451613,0.0,1,0
51,25,119,4.9,208,1,1,0,0,1,1,1,1,1,0.18846153846153849,1.7333333333333334,2,0
30,6,29,1.0,117,2,3,0,0,0,0,1,0,0,0.14285714285714285,3.9,2,0
65,39,23,0.7,0,2,3,0,0,0,1,0,1,0,0.017499999999999998,0.0,2,0
61,36,85,1.8,0,2,3,0,0,0,0,0,0,0,0.04864864864864865,0.0,3,0
49,23,68,1.5,0,2,1,0,0,0,0,0,0,0,0.0625,0.0,3,0
42,15,24,1.0,0,2,3,0,0,1,1,0,1,1,0.0625,0.0,2,0
45,20,191,2.6,123,3,3,0,0,0,0,1,0,0,0.12380952380952381,0.640625,4,1
61,36,133,2.6,0,1,1,0,0,1,0,0,0,1,0.07027027027027027,0.0,2,0
41,15,158,4.7,0,2,1,1,1,0,1,0,3,0,0.29375,0.0,4,1
39,13,30,0.2,0,2,3,0,0,0,0,0,0,0,0.014285714285714287,0.0,2,0
32,8,140,6.6,0,3,4,0,1,0,1,0,2,0,0.7333333333333333,0.0,5,1
63,39,84,1.8,0,3,1,0,0,0,0,0,0,0,0.045,0.0,4,0
31,7,81,2.0,0,2,2,0,1,1,1,0,2,1,0.25,0.0,4,0
65,40,29,1.5,0,2,1,0,0,0,0,0,0,0,0.036585365853658534,0.0,3,0
36,12,40,0.6,0,3,2,0,0,1,1,0,1,1,0.04615384615384615,0.0,3,0
33,7,32,0.6,152,3,1,0,0,0,0,1,0,0,0.075,4.606060606060606,3,0
35,10,164,7.8,0,1,2,0,0,1,0,0,0,1,0.7090909090909091,0.0,2,0
29,4,102,3.3,303,1,2,0,0,0,0,1,0,0,0.6599999999999999,2.941747572815534,2,0
30,5,22,0.5,109,3,4,0,0,1,0,1,0,1,0.08333333333333333,4.739130434782608,3,0
35,9,85,1.8,0,1,2,0,0,0,0,0,0,0,0.18,0.0,2,0
30,6,139,4.3,0,1,1,0,0,1,0,0,0,1,0.6142857142857142,0.0,2,0
52,26,78,3.0,0,2,3,0,0,0,0,0,0,0,0.1111111111111111,0.0,3,0
49,23,32,1.8,83,1,4,0,0,0,0,1,0,0,0.075,2.515151515151515,2,0
60,36,30,1.3,118,1,4,0,0,1,1,1,1,1,0.03513513513513514,3.806451612903226,1,0
34,9,64,0.1,224,1,2,0,0,1,1,1,1,1,0.01,3.4461538461538463,1,0
57,32,40,1.7,0,1,3,0,0,1,1,0,1,1,0.051515151515151514,0.0,2,0
36,12,73,2.0,188,3,4,0,0,1,0,1,0,1,0.15384615384615385,2.5405405405405403,4,0
65,35,23,1.5,0,3,1,0,0,1,0,0,0,1,0.041666666666666664,0.0,4,0
63,37,80,1.7,0,3,2,0,0,1,1,0,1,1,0.04473684210526316,0.0,4,0
40,14,129,5.9,0,3,1,0,0,1,0,0,0,1,0.39333333333333337,0.0,4,1
46,22,74,0.7,0,1,3,0,0,1,0,0,0,1,0.03043478260869565,0.0,1,0
38,14,74,3.6,0,2,1,0,0,1,1,0,1,1,0.24000000000000002,0.0,3,0
28,4,70,2.6,0,1,4,0,0,1,0,0,0,1,0.52,0.0,2,0
48,24,162,3.3,446,2,4,0,1,1,0,1,1,1,0.132,2.736196319018405,4,1
47,22,203,8.8,0,1,2,0,0,1,0,0,0,1,0.3826086956521739,0.0,2,0
45,21,73,0.8,0,3,1,0,0,1,0,0,0,1,0.03636363636363637,0.0,3,0
28,3,70,2.2,240,1,4,0,0,0,1,1,1,0,0.55,3.380281690140845,2,0
50,25,112,0.6,0,1,1,0,0,0,0,0,0,0,0.023076923076923075,0.0,1,0
25,1,21,1.0,0,2,3,0,0,0,0,0,0,0,0.5,0.0,2,0
35,11,30,1.7,0,1,1,1,0,0,1,0,2,0,0.14166666666666666,0.0,2,0
35,5,85,4.0,0,3,4,0,0,1,0,0,0,1,0.6666666666666666,0.0,4,0
56,30,60,2.2,0,3,1,0,0,0,0,0,0,0,0.07096774193548387,0.0,4,0
24,0,38,1.0,0,3,1,0,0,1,0,0,0,1,1.0,0.0,3,0
34,9,180,6.5,0,3,2,0,1,1,0,0,1,1,0.65,0.0,5,1
49,24,79,3.6,212,3,4,0,0,1,0,1,0,1,0.14400000000000002,2.65,4,0
58,33,23,1.3,131,2,3,0,0,0,0,1,0,0,0.03823529411764706,5.458333333333333,2,0
41,17,78,2.67,99,1,4,0,0,1,0,1,0,1,0.14833333333333332,1.2531645569620253,2,0
36,9,49,1.67,0,2,2,0,0,0,1,0,1,0,0.16699999999999998,0.0,3,0
54,28,170,6.2,325,2,2,0,0,1,0,1,0,1,0.21379310344827587,1.9005847953216375,3,1
43,18,84,4.0,0,3,1,0,0,0,0,0,0,0,0.21052631578947367,0.0,4,0
24,0,118,7.2,0,1,2,1,0,1,0,0,1,1,7.2,0.0,2,0
46,22,141,3.3,0,1,2,1,1,1,1,0,3,1,0.14347826086956522,0.0,3,0
30,4,25,0.3,0,2,2,0,0,0,0,0,0,0,0.06,0.0,2,0
31,7,84,0.1,0,1,1,0,0,1,0,0,0,1,0.0125,0.0,1,0
51,25,185,1.7,0,1,1,0,0,0,0,0,0,0,0.06538461538461539,0.0,2,0
63,39,41,1.3,0,2,4,0,0,1,0,0,0,1,0.0325,0.0,2,0
54,29,34,0.1,0,3,4,0,0,1,1,0,1,1,0.0033333333333333335,0.0,3,0
29,3,154,2.0,130,1,2,0,0,0,0,1,0,0,0.5,0.8387096774193549,2,0
28,3,54,0.6,0,2,4,0,0,1,0,0,0,1,0.15,0.0,2,0
45,19,109,1.1,0,1,3,0,0,0,0,0,0,0,0.05500000000000001,0.0,1,0
60,35,23,0.3,0,3,1,0,0,1,0,0,0,1,0.008333333333333333,0.0,3,0
54,30,54,1.6,185,3,1,0,0,1,0,1,0,1,0.05161290322580645,3.3636363636363638,4,0
63,37,149,0.2,364,3,2,0,0,1,0,1,0,1,0.005263157894736842,2.4266666666666667,3,1
51,27,12,0.5,78,2,4,1,0,1,0,1,1,1,0.017857142857142856,6.0,2,0
28,3,173,6.7,222,1,2,0,0,1,0,1,0,1,1.675,1.2758620689655173,2,0
25,1,122,0.2,0,1,2,0,0,1,0,0,0,1,0.1,0.0,1,0
29,4,62,2.5,184,1,2,0,0,1,0,1,0,1,0.5,2.9206349206349205,2,0
55,30,85,0.1,0,3,1,0,0,0,0,0,0,0,0.0032258064516129032,0.0,3,0
64,39,24,0.4,78,2,4,0,0,1,0,1,0,1,0.01,3.12,2,0
60,35,65,1.5,220,1,2,0,0,0,1,1,1,0,0.041666666666666664,3.3333333333333335,2,0
47,22,19,0.4,0,3,1,0,0,1,0,0,0,1,0.017391304347826087,0.0,3,0
57,27,55,1.4,0,3,1,0,0,1,0,0,0,1,0.049999999999999996,0.0,3,0
49,23,70,1.5,0,2,2,0,0,0,0,0,0,0,0.0625,0.0,3,0
64,38,79,2.8,179,1,2,0,0,0,0,1,0,0,0.07179487179487179,2.2375,2,0
59,33,80,0.7,0,2,2,0,0,1,0,0,0,1,0.020588235294117647,0.0,2,0
31,6,81,2.2,116,2,4,0,0,1,0,1,0,1,0.31428571428571433,1.4146341463414633,3,0
30,6,181,4.3,230,1,1,0,0,1,0,1,0,1,0.6142857142857142,1.2637362637362637,2,0
38,14,95,1.9,0,1,2,0,0,1,1,0,1,1,0.12666666666666665,0.0,2,0
57,33,80,1.6,0,2,4,0,0,0,0,0,0,0,0.047058823529411764,0.0,3,0
59,33,43,0.3,0,1,2,0,0,0,1,0,1,0,0.008823529411764706,0.0,1,0
61,36,21,0.4,123,2,4,0,0,0,0,1,0,0,0.010810810810810811,5.590909090909091,2,0
28,3,74,2.6,0,3,3,0,0,0,0,0,0,0,0.65,0.0,4,0
61,36,153,2.6,0,2,1,1,1,0,1,0,3,0,0.07027027027027027,0.0,4,1
52,26,112,2.4,0,1,1,1,1,1,1,0,3,1,0.08888888888888889,0.0,3,0
63,39,38,0.1,178,3,3,0,0,1,1,1,1,1,0.0025,4.564102564102564,3,0
35,11,190,3.1,266,2,3,0,0,0,0,1,0,0,0.25833333333333336,1.3926701570680629,3,1
44,19,45,0.0,0,2,4,0,0,1,1,0,1,1,0.0,0.0,2,0
42,12,34,2.0,0,3,3,0,0,0,1,0,1,0,0.15384615384615385,0.0,4,0
31,4,54,1.0,109,2,2,0,0,0,1,1,1,0,0.2,1.981818181818182,2,0
54,28,140,2.9,0,1,1,0,0,1,0,0,0,1,0.09999999999999999,0.0,2,0
57,27,73,3.0,0,3,1,0,0,0,0,0,0,0,0.10714285714285714,0.0,4,0
46,22,83,1.4,0,2,4,0,0,1,1,0,1,1,0.0608695652173913,0.0,2,0
53,29,20,0.2,0,1,4,0,0,1,0,0,0,1,0.006666666666666667,0.0,1,0
53,28,34,0.6,0,3,2,0,0,1,1,0,1,1,0.020689655172413793,0.0,3,0
44,20,150,3.3,0,1,2,0,0,0,1,0,1,0,0.15714285714285714,0.0,2,0
52,26,19,0.7,0,2,2,0,0,0,1,0,1,0,0.025925925925925925,0.0,2,0
34,10,22,0.5,85,3,1,0,0,0,0,1,0,0,0.045454545454545456,3.6956521739130435,3,0
31,5,29,0.3,131,2,2,0,0,1,1,1,1,1,0.049999999999999996,4.366666666666666,2,0
60,34,35,0.2,0,1,1,0,0,1,0,0,0,1,0.005714285714285714,0.0,1,0
29,5,135,5.3,0,1,3,0,1,1,1,0,2,1,0.8833333333333333,0.0,3,1
58,32,114,2.0,402,1,2,0,0,1,0,1,0,1,0.06060606060606061,3.4956521739130433,2,0
58,34,41,1.3,0,1,4,0,0,1,0,0,0,1,0.037142857142857144,0.0,1,0
44,18,129,5.7,0,1,1,0,0,1,0,0,0,1,0.3,0.0,2,0
28,4,114,0.2,0,1,2,0,0,1,0,0,0,1,0.04,0.0,1,0
42,17,59,0.4,0,1,4,0,0,1,0,0,0,1,0.022222222222222223,0.0,1,0
43,18,59,2.4,250,1,1,0,0,1,0,1,0,1,0.12631578947368421,4.166666666666667,2,0
56,30,81,2.6,0,3,4,0,0,1,0,0,0,1,0.08387096774193549,0.0,4,0
47,23,160,6.67,0,1,2,0,0,0,0,0,0,0,0.27791666666666665,0.0,2,0
28,4,32,1.0,0,2,3,0,0,0,0,0,0,0,0.2,0.0,2,0
49,25,24,0.2,138,1,4,0,0,1,0,1,0,1,0.007692307692307693,5.52,1,0
30,6,18,0.9,0,3,3,0,0,0,0,0,0,0,0.1285714285714286,0.0,3,0
53,29,24,0.2,0,1,4,0,0,1,1,0,1,1,0.006666666666666667,0.0,1,0
